Feature 1,Feature 2,Spearman correlation,Absolute correlation
Admission grade,Curricular units 2nd sem (without evaluations),-0.023679370479676803,0.023679370479676803
Curricular units 1st sem (credited),GDP,0.021784127077811202,0.021784127077811202
Curricular units 1st sem (enrolled),Curricular units 2nd sem (without evaluations),-0.02060039732015466,0.02060039732015466
Previous qualification (grade),Inflation rate,0.01919144180843192,0.01919144180843192
Curricular units 1st sem (enrolled),Curricular units 1st sem (without evaluations),-0.018756910394367752,0.018756910394367752
Curricular units 2nd sem (enrolled),GDP,0.018671431428834383,0.018671431428834383
Age at enrollment,Unemployment rate,0.018599640951552903,0.018599640951552903
Admission grade,Inflation rate,-0.018256671603435453,0.018256671603435453
Age at enrollment,Inflation rate,0.01818127923994442,0.01818127923994442
Curricular units 1st sem (enrolled),GDP,0.017964618508841554,0.017964618508841554
Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),-0.01693009390976386,0.01693009390976386
Curricular units 1st sem (enrolled),Inflation rate,0.016872824749519264,0.016872824749519264
Previous qualification (grade),Curricular units 2nd sem (without evaluations),-0.01629508486632209,0.01629508486632209
Curricular units 2nd sem (approved),Inflation rate,-0.014904991794095613,0.014904991794095613
Curricular units 2nd sem (credited),Unemployment rate,0.012190236013783138,0.012190236013783138
Previous qualification (grade),Curricular units 1st sem (credited),0.009901046333808507,0.009901046333808507
Curricular units 2nd sem (enrolled),Inflation rate,0.008952399824100014,0.008952399824100014
Admission grade,Curricular units 1st sem (enrolled),-0.005681467377366738,0.005681467377366738
Curricular units 2nd sem (evaluations),GDP,-0.004171846068455517,0.004171846068455517
Previous qualification (grade),Curricular units 1st sem (without evaluations),0.003187455801708642,0.003187455801708642
Curricular units 1st sem (approved),Inflation rate,-0.002489608080401293,0.002489608080401293
Curricular units 1st sem (credited),Inflation rate,-0.0018228731830934473,0.0018228731830934473
Previous qualification (grade),Curricular units 2nd sem (credited),-0.0013683862628106034,0.0013683862628106034
Admission grade,Curricular units 2nd sem (enrolled),0.0011619662816702457,0.0011619662816702457
Age at enrollment,Curricular units 1st sem (enrolled),0.0008043591374666159,0.0008043591374666159
Curricular units 2nd sem (credited),Inflation rate,-0.0005300532305817389,0.0005300532305817389
Admission grade,Curricular units 1st sem (without evaluations),-0.00010311124199564078,0.00010311124199564078
